Locus,chr,AGPv2_start,AGPv2_end,cM,predict_start,predict_end,Difference
mmp93,1,"10,222,617","10,222,833",35.8,"10,073,934","11,454,840",-----
umc1685,1,"10,377,954","10,378,602",35.8,"10,073,934","11,454,840",-----
TIDP4650,1,"11,391,352","11,393,291",39.3,"10,278,729","12,223,160",-----
TIDP8778,1,"11,391,854","11,392,251",39.3,"10,278,729","12,223,160",-----
IDP4009,1,"11,486,795","11,487,911",39.3,"10,278,729","12,223,160",-----
umc1160,1,"11,695,269","11,695,716",39.3,"10,278,729","12,223,160",-----
umc2224,1,"12,165,489","12,166,013",40.4,"11,566,620","12,223,160",-----
IDP8388,1,"12,187,402","12,189,506",42.1,"12,319,920","13,034,367","130,414"
IDP8631,1,"12,354,380","12,357,273",40.4,"11,566,620","12,223,160","131,220"
TIDP6160,1,"12,425,419","12,426,494",42.1,"12,319,920","13,034,367",-----
IDP1425,1,"12,853,648","12,854,268",45.9,"12,319,920","14,123,531",-----
IDP1461,1,"13,071,651","13,073,263",45.9,"12,319,920","14,123,531",-----
IDP4934,1,"13,470,307","13,471,964",45.9,"12,319,920","14,123,531",-----
IMR7,1,"13,641,125","13,642,809",45.9,"12,319,920","14,123,531",-----
bnlg1178,1,"14,078,343","14,079,043",45.9,"12,319,920","14,123,531",-----
IDP7478,1,"14,102,032","14,103,828",46.6,"14,798,693","15,216,305","694,865"
IDP7956,1,"14,452,826","14,455,000",45.9,"12,319,920","14,123,531","329,295"
umc2225,1,"14,851,394","14,852,023",45.9,"12,319,920","14,123,531","727,863"
IDP4914,1,"14,927,582","14,929,488",45.9,"12,319,920","14,123,531","804,051"
umc1166,1,"15,080,522","15,081,335",51.8,"13,921,336","15,216,305",-----
TIDP7101,1,"15,165,059","15,173,583",53.3,"15,029,035","15,790,929",-----
IDPCP80324,1,"15,444,049","15,445,876",53.3,"15,029,035","15,790,929",-----
IDP5887,1,"15,524,683","15,525,457",53.3,"15,029,035","15,790,929",-----
IDP209,1,"15,786,441","15,787,261",55,"15,508,137","16,243,042",-----
umc1568,1,"15,806,220","15,808,040",55,"15,508,137","16,243,042",-----
IDP8570,1,"15,988,044","15,991,917",55,"15,508,137","16,243,042",-----
IDP3783,1,"16,177,055","16,178,491",55.7,"16,658,610","18,200,086","480,119"
IDP407,1,"16,347,185","16,351,965",55.7,"16,658,610","18,200,086","306,645"
IDP7290,1,"16,369,514","16,378,429",55.7,"16,658,610","18,200,086","280,181"
IDP6846,1,"16,777,114","16,778,812",55,"15,508,137","16,243,042","534,072"
TIDP3567,1,"17,462,133","17,462,684",55.7,"16,658,610","18,200,086",-----
IDP4813,1,"17,743,242","17,744,497",55.7,"16,658,610","18,200,086",-----
TIDP2777,1,"17,746,255","17,746,699",55.7,"16,658,610","18,200,086",-----
IDP7169,1,"17,782,714","17,785,069",55.7,"16,658,610","18,200,086",-----
TIDP3516,1,"17,962,623","17,967,234",55.7,"16,658,610","18,200,086",-----
IDP4230,1,"17,991,713","17,992,735",55.7,"16,658,610","18,200,086",-----
IDP7413,1,"18,053,103","18,055,238",56.4,"18,632,533","18,879,054","577,295"
IDP4506,1,"18,055,323","18,056,230",55.7,"16,658,610","18,200,086",-----
IDP343,1,"18,132,932","18,135,136",56.4,"18,632,533","18,879,054","497,397"
IDP622,1,"18,698,475","18,699,753",57.4,"18,018,707","19,408,323",-----
TIDP6162,1,"18,835,323","18,837,148",55.7,"16,658,610","18,200,086","635,237"
IDP4470,1,"19,321,268","19,323,156",60.1,"18,632,533","20,103,030",-----
TIDP3406,1,"19,559,767","19,560,305",60.1,"18,632,533","20,103,030",-----
IDP5878,1,"19,678,440","19,681,301",60.1,"18,632,533","20,103,030",-----
TIDP5126,1,"19,692,972","19,695,326",60.1,"18,632,533","20,103,030",-----
IDP871,1,"19,981,948","19,983,586",61.3,"21,620,574","22,003,995","1,636,988"
IDP3970,1,"20,541,731","20,542,531",60.1,"18,632,533","20,103,030","438,701"
TIDP3048,1,"21,461,350","21,461,860",60.1,"18,632,533","20,103,030","1,358,320"
IDP673,1,"21,568,083","21,568,799",60.1,"18,632,533","20,103,030","1,465,053"
IDP5948,1,"21,601,314","21,602,698",60.1,"18,632,533","20,103,030","1,498,284"
IDP8623,1,"21,686,236","21,690,050",60.1,"18,632,533","20,103,030","1,583,206"
IDP8987,1,"21,982,533","21,985,070",66.5,"19,936,488","24,702,045",-----
TIDP8795,1,"22,378,888","22,381,090",66.5,"19,936,488","24,702,045",-----
IDP7226,1,"23,604,671","23,606,181",66.5,"19,936,488","24,702,045",-----
bnlg1953,1,"23,677,730","23,678,402",66.5,"19,936,488","24,702,045",-----
IDP4205,1,"24,601,257","24,604,385",68.5,"23,618,768","24,932,512",-----
IDP4991,1,"24,909,238","24,911,066",70.1,"24,582,467","25,216,354",-----
IDP466,1,"25,150,469","25,150,790",70.1,"24,582,467","25,216,354",-----
IDP6976,1,"25,168,672","25,171,318",70.5,"25,009,992","26,489,667",-----
IDP4337,1,"26,425,225","26,427,360",71.2,"25,009,992","27,109,961",-----
TIDP3342,1,"26,579,455","26,581,816",71.2,"25,009,992","27,109,961",-----
IDP4750,1,"26,910,886","26,912,446",71.2,"25,009,992","27,109,961",-----
TIDP6152,1,"27,070,214","27,071,535",71.9,"26,724,604","27,398,857",-----
TIDP3074,1,"27,388,447","27,389,059",76.3,"27,030,719","27,918,358",-----
TIDP6478,1,"27,405,816","27,408,441",76.3,"27,030,719","27,918,358",-----
IDP810,1,"27,501,186","27,503,399",76.3,"27,030,719","27,918,358",-----
IDP645,1,"27,501,437","27,503,258",76.3,"27,030,719","27,918,358",-----
IDP4753,1,"27,897,261","27,900,131",76.3,"27,030,719","27,918,358",-----
IDP4752,1,"27,900,460","27,901,073",77.5,"27,965,179","30,397,570","64,106"
IDP8345,1,"28,071,196","28,072,875",76.3,"27,030,719","27,918,358","152,838"
TIDP3174,1,"28,446,041","28,447,317",77.5,"27,965,179","30,397,570",-----
IDP4710,1,"28,458,757","28,459,556",77.5,"27,965,179","30,397,570",-----
TIDP5326,1,"28,598,013","28,600,017",77.5,"27,965,179","30,397,570",-----
IDP7238,1,"29,511,735","29,516,105",77.5,"27,965,179","30,397,570",-----
IDP2362,1,"30,346,301","30,350,883",78.6,"29,497,257","32,983,167",-----
IDP4825,1,"30,494,685","30,496,391",78.6,"29,497,257","32,983,167",-----
IDP7904,1,"30,684,742","30,688,121",78.6,"29,497,257","32,983,167",-----
IDP7583,1,"30,750,736","30,754,367",78.6,"29,497,257","32,983,167",-----
TIDP3265,1,"30,752,954","30,753,473",78.6,"29,497,257","32,983,167",-----
IDP2385,1,"30,753,913","30,754,579",78.6,"29,497,257","32,983,167",-----
IDP4430,1,"32,650,752","32,653,214",78.6,"29,497,257","32,983,167",-----
umc1073,1,"32,868,481","32,868,895",81.9,"32,615,341","33,160,825",-----
umc1403,1,"33,006,036","33,006,580",83,"32,841,883","33,920,687",-----
IDP4348,1,"33,885,798","33,887,497",87.4,"32,983,168","34,921,445",-----
IDP6029,1,"34,665,191","34,666,090",87.4,"32,983,168","34,921,445",-----
bnlg1484,1,"34,916,416","34,917,215",89.1,"34,652,377","35,790,635",-----
TIDP6252,1,"35,735,755","35,736,516",89.1,"34,652,377","35,790,635",-----
IDP3976,1,"35,737,478","35,741,344",91,"37,458,412","38,564,767","1,717,068"
IDP180,1,"35,770,058","35,771,811",89.5,"35,704,934","37,107,447",-----
IDP6057,1,"36,799,665","36,803,467",89.1,"34,652,377","35,790,635","1,009,030"
TIDP3455,1,"36,973,396","36,974,793",89.1,"34,652,377","35,790,635","1,182,761"
TIDP6724,1,"37,468,673","37,469,560",93.7,"35,704,934","40,197,977",-----
IDP6737,1,"37,540,735","37,543,073",93.7,"35,704,934","40,197,977",-----
IDP329,1,"38,247,167","38,250,026",93.7,"35,704,934","40,197,977",-----
IDP92,1,"38,250,169","38,252,502",93.7,"35,704,934","40,197,977",-----
IDP9120,1,"38,549,370","38,551,543",93.7,"35,704,934","40,197,977",-----
AY109929,1,"38,549,534","38,549,970",89.5,"35,704,934","37,107,447","1,442,087"
TIDP3137,1,"38,616,611","38,624,278",93.7,"35,704,934","40,197,977",-----
IDPC175,1,"38,720,373","38,720,947",93.7,"35,704,934","40,197,977",-----
TIDP5506,1,"38,845,388","38,851,913",93.7,"35,704,934","40,197,977",-----
umc1397,1,"39,140,887","39,141,499",93.7,"35,704,934","40,197,977",-----
AY110052,1,"39,219,026","39,219,432",93.7,"35,704,934","40,197,977",-----
IDP4746,1,"40,041,470","40,042,845",98.2,"39,138,674","41,772,715",-----
IDP6076,1,"40,156,468","40,157,748",98.2,"39,138,674","41,772,715",-----
IDP6077,1,"40,159,037","40,160,826",98.2,"39,138,674","41,772,715",-----
IDP81,1,"40,194,652","40,195,760",98.2,"39,138,674","41,772,715",-----
TIDP3134,1,"41,236,907","41,237,967",103.5,"41,518,888","43,864,000","280,921"
IDP7291,1,"41,238,467","41,239,901",103.5,"41,518,888","43,864,000","278,987"
IDP142,1,"41,277,176","41,278,822",103.5,"41,518,888","43,864,000","240,066"
TIDP2962,1,"41,471,908","41,473,341",103.5,"41,518,888","43,864,000","45,547"
IDP7168,1,"41,537,201","41,538,594",101.3,"40,032,493","41,414,681","122,520"
IDP8216,1,"41,862,741","41,864,314",103.5,"41,518,888","43,864,000",-----
IDP8266,1,"43,110,678","43,114,296",103.5,"41,518,888","43,864,000",-----
IDP6818,1,"43,133,204","43,133,756",103.5,"41,518,888","43,864,000",-----
umc1479,1,"43,133,403","43,136,649",103.5,"41,518,888","43,864,000",-----
IDP1632,1,"43,505,626","43,507,607",103.5,"41,518,888","43,864,000",-----
bnlg1203,1,"43,700,743","43,701,352",103.6,"43,683,027","44,403,096",-----
bnlg439,1,"43,700,743","43,701,352",103.5,"41,518,888","43,864,000",-----
IDP112,1,"44,027,289","44,030,623",105.9,"44,227,633","46,052,651","197,010"
IDP8593,1,"44,334,808","44,335,848",104.6,"43,683,027","44,139,879","194,929"
AY110640,1,"44,345,008","44,345,309",105.9,"44,227,633","46,052,651",-----
IDP7989,1,"45,116,186","45,117,699",105.9,"44,227,633","46,052,651",-----
IDP3865,1,"45,766,733","45,773,719",105.9,"44,227,633","46,052,651",-----
IDP643,1,"45,927,575","45,932,285",105.9,"44,227,633","46,052,651",-----
TIDP2814,1,"45,948,851","45,949,920",107.2,"46,213,934","47,304,915","264,014"
AY110632,1,"46,124,988","46,125,313",107.2,"46,213,934","47,304,915","88,621"
IDP4708,1,"46,230,671","46,233,653",105.9,"44,227,633","46,052,651","178,020"
IDP4986,1,"47,205,301","47,206,314",109.9,"46,052,652","48,597,869",-----
IDP6022,1,"48,543,642","48,551,244",110.6,"47,190,807","49,873,171",-----
IDP6912,1,"49,195,399","49,197,903",110.6,"47,190,807","49,873,171",-----
IDP5944,1,"49,367,818","49,368,707",110.6,"47,190,807","49,873,171",-----
IDP4324,1,"49,793,273","49,794,123",113.2,"50,842,227","51,364,865","1,048,104"
TIDP5405,1,"49,794,132","49,795,155",113.2,"50,842,227","51,364,865","1,047,072"
TIDP5539,1,"50,098,668","50,099,590",113.2,"50,842,227","51,364,865","742,637"
IDP875,1,"50,864,174","50,865,494",110.6,"47,190,807","49,873,171","991,003"
AW400087,1,"51,216,556","51,217,192",116.2,"51,272,975","51,510,554","55,783"
AY110393,1,"51,291,451","51,292,489",116.2,"51,272,975","51,510,554",-----
mmp23,1,"51,319,315","51,319,891",115.2,"50,027,931","51,272,974","46,341"
umc1880,1,"51,509,771","51,510,518",118.4,"51,272,975","51,510,554",-----
bnlg182,1,"51,509,771","51,510,518",118.4,"51,272,975","51,510,554",-----
bnlg1866,1,"51,509,771","51,510,518",118.7,"51,866,613","52,615,026","356,095"
TIDP6428,1,"51,752,446","51,753,475",118.4,"51,272,975","51,510,554","241,892"
phi109275,1,"51,946,081","51,946,864",118.4,"51,272,975","51,510,554","435,527"
IDP7959,1,"52,153,330","52,162,550",120.1,"52,615,027","53,240,154","452,477"
TIDP3553,1,"52,562,267","52,569,374",119.7,"51,364,866","52,207,008","355,259"
IDP7785,1,"52,767,151","52,770,779",121.2,"52,094,117","53,066,467",-----
IDP4441,1,"53,007,367","53,011,005",122,"52,615,027","53,622,684",-----
TIDP5648,1,"53,150,602","53,157,870",119.7,"51,364,866","52,207,008","943,594"
TIDP4672,1,"53,150,602","53,157,870",119.7,"51,364,866","52,207,008","943,594"
TIDP3188,1,"53,173,862","53,178,646",119.7,"51,364,866","52,207,008","966,854"
IDP7537,1,"53,620,215","53,621,379",124.4,"52,993,220","54,640,344",-----
IDP7480,1,"54,533,929","54,536,375",125.6,"53,450,975","57,062,884",-----
IDP8309,1,"54,737,591","54,739,919",125.6,"53,450,975","57,062,884",-----
IDP8453,1,"54,849,495","54,850,779",125.6,"53,450,975","57,062,884",-----
TIDP5113,1,"54,924,847","54,929,218",125.6,"53,450,975","57,062,884",-----
TIDP4590,1,"55,068,965","55,071,682",125.6,"53,450,975","57,062,884",-----
TIDP7054,1,"55,389,372","55,392,170",125.6,"53,450,975","57,062,884",-----
IDP1489,1,"56,572,832","56,579,483",129.2,"57,062,985","60,155,370","483,502"
IDP7817,1,"56,781,103","56,783,088",129.2,"57,062,985","60,155,370","279,897"
TIDP5229,1,"56,891,736","56,894,512",129.2,"57,062,985","60,155,370","168,473"
TIDP3613,1,"56,982,387","56,983,227",126.6,"55,297,848","56,620,096","362,291"
TIDP5706,1,"57,096,729","57,097,568",126.6,"55,297,848","56,620,096","476,633"
IDP8320,1,"58,472,939","58,475,846",129.2,"57,062,985","60,155,370",-----
IDP7976,1,"58,576,270","58,579,489",129.2,"57,062,985","60,155,370",-----
TIDP3716,1,"59,066,359","59,067,043",129.2,"57,062,985","60,155,370",-----
TIDP5730,1,"59,466,500","59,470,072",129.2,"57,062,985","60,155,370",-----
asg75,1,"59,505,884","59,506,227",129.2,"57,062,985","60,155,370",-----
TIDP3368,1,"60,090,292","60,094,421",131.2,"59,313,158","61,776,800",-----
IDP7629,1,"60,675,239","60,678,227",131.2,"59,313,158","61,776,800",-----
IDP197,1,"60,677,549","60,678,493",131.2,"59,313,158","61,776,800",-----
IDP8458,1,"60,832,902","60,837,839",131.2,"59,313,158","61,776,800",-----
IDP739,1,"60,966,072","60,967,835",131.2,"59,313,158","61,776,800",-----
IDP4806,1,"61,133,721","61,136,872",131.2,"59,313,158","61,776,800",-----
IDP182,1,"61,696,924","61,699,200",132.9,"64,940,737","65,487,799","3,241,537"
AY110330,1,"62,041,989","62,042,787",132.9,"64,940,737","65,487,799","2,897,950"
TIDP5147,1,"62,227,475","62,230,036",131.2,"59,313,158","61,776,800","450,675"
TIDP2784,1,"62,888,976","62,891,036",131.2,"59,313,158","61,776,800","1,112,176"
IDP7708,1,"62,890,278","62,891,036",132.9,"64,940,737","65,487,799","2,049,701"
TIDP5346,1,"63,031,074","63,033,221",131.2,"59,313,158","61,776,800","1,254,274"
IDP7882,1,"63,612,172","63,613,884",132.9,"64,940,737","65,487,799","1,326,853"
IDP7938,1,"64,081,092","64,082,881",132.9,"64,940,737","65,487,799","857,856"
IDPCP18749b,1,"64,479,978","64,482,232",131.2,"59,313,158","61,776,800","2,703,178"
TIDP5725,1,"65,039,024","65,039,901",131.2,"59,313,158","61,776,800","3,262,224"
TIDP3667,1,"65,351,473","65,353,928",134.4,"68,961,289","70,007,392","3,607,361"
TIDP5629,1,"65,417,608","65,421,581",134.4,"68,961,289","70,007,392","3,539,708"
TIDP5402,1,"67,245,988","67,250,066",134.4,"68,961,289","70,007,392","1,711,223"
IDP2553,1,"67,436,279","67,440,532",132.9,"64,940,737","65,487,799","1,948,480"
TIDP5310,1,"67,529,462","67,531,325",134.4,"68,961,289","70,007,392","1,429,964"
TIDP6254,1,"67,532,729","67,534,375",134.4,"68,961,289","70,007,392","1,426,914"
umc2227,1,"67,777,456","67,778,133",134.4,"68,961,289","70,007,392","1,183,156"
IDP6034,1,"67,845,526","67,846,776",134.4,"68,961,289","70,007,392","1,114,513"
IDP3943,1,"68,543,653","68,544,804",132.9,"64,940,737","65,487,799","3,055,854"
IDP5914,1,"68,555,025","68,556,003",134.4,"68,961,289","70,007,392","405,286"
IDP6736,1,"69,089,109","69,090,871",132.9,"64,940,737","65,487,799","3,601,310"
TIDP2882,1,"69,886,726","69,889,305",135.8,"70,964,402","73,243,151","1,075,097"
TIDP6222,1,"70,424,833","70,425,411",135.8,"70,964,402","73,243,151","538,991"
bnlg1811,1,"70,810,274","70,810,942",135.8,"70,964,402","73,243,151","153,460"
IDP7576,1,"71,019,371","71,020,520",134.4,"68,961,289","70,007,392","1,011,979"
IDP511,1,"71,143,315","71,148,238",135.8,"70,964,402","73,243,151",-----
IDP1953,1,"73,187,646","73,188,480",141.7,"71,071,532","75,503,180",-----
IDP8271,1,"73,440,920","73,443,532",141.7,"71,071,532","75,503,180",-----
umc2228,1,"73,839,446","73,840,205",141.7,"71,071,532","75,503,180",-----
IDP8016,1,"74,281,102","74,282,475",141.7,"71,071,532","75,503,180",-----
IDP8965,1,"74,414,238","74,418,171",141.7,"71,071,532","75,503,180",-----
TIDP6496,1,"75,395,921","75,397,000",142.4,"77,175,369","78,824,400","1,778,369"
IDP6044,1,"75,760,679","75,762,870",141.7,"71,071,532","75,503,180","257,499"
IDP4684,1,"76,240,531","76,241,530",141.7,"71,071,532","75,503,180","737,351"
IDP7261,1,"76,338,129","76,341,483",141.7,"71,071,532","75,503,180","834,949"
IDP1473,1,"76,609,858","76,615,488",141.7,"71,071,532","75,503,180","1,106,678"
IDP252,1,"76,839,965","76,842,375",141.7,"71,071,532","75,503,180","1,336,785"
IDP6832,1,"77,212,728","77,214,455",141.7,"71,071,532","75,503,180","1,709,548"
TIDP5182,1,"77,240,735","77,243,442",142.4,"77,175,369","78,824,400",-----
IDP6063,1,"77,542,054","77,543,015",142.4,"77,175,369","78,824,400",-----
IDP8676,1,"78,702,607","78,703,715",145.6,"80,399,785","81,944,872","1,696,070"
IDP6075,1,"79,347,234","79,348,459",142.4,"77,175,369","78,824,400","522,834"
IDP9114,1,"79,703,329","79,708,294",145.6,"80,399,785","81,944,872","691,491"
IDP376,1,"80,167,461","80,168,305",145.6,"80,399,785","81,944,872","231,480"
IMR18,1,"80,319,127","80,322,275",145.6,"80,399,785","81,944,872","77,510"
umc2229,1,"80,320,058","80,320,344",145.6,"80,399,785","81,944,872","79,441"
IMR21,1,"80,499,275","80,501,662",142.4,"77,175,369","78,824,400","1,674,875"
TMR22,1,"80,501,668","80,504,573",145.6,"80,399,785","81,944,872",-----
TIDP5737,1,"80,619,900","80,623,646",145.6,"80,399,785","81,944,872",-----
IDP4694,1,"80,697,834","80,698,819",145.6,"80,399,785","81,944,872",-----
IMR19,1,"80,963,381","80,967,629",145.6,"80,399,785","81,944,872",-----
IMR10,1,"81,917,797","81,921,657",145.6,"80,399,785","81,944,872",-----
IDP7799,1,"81,917,797","81,921,657",148,"86,565,038","87,692,834","4,643,381"
csu3,1,"82,574,898","82,577,349",148,"86,565,038","87,692,834","3,987,689"
IDP5940,1,"82,632,180","82,634,128",148,"86,565,038","87,692,834","3,930,910"
IDP839,1,"82,676,056","82,679,636",145.6,"80,399,785","81,944,872","731,184"
IDP1986,1,"83,432,188","83,433,335",148,"86,565,038","87,692,834","3,131,703"
umc2112,1,"83,525,378","83,525,767",145.6,"80,399,785","81,944,872","1,580,506"
bnlg2086,1,"83,698,816","83,699,599",145.6,"80,399,785","81,944,872","1,753,944"
TIDP2770,1,"83,827,563","83,829,027",145.6,"80,399,785","81,944,872","1,882,691"
IDP7420,1,"84,061,139","84,063,031",148,"86,565,038","87,692,834","2,502,007"
TIDP8768,1,"84,415,218","84,416,191",145.6,"80,399,785","81,944,872","2,470,346"
TIDP6240,1,"84,751,731","84,752,612",148,"86,565,038","87,692,834","1,812,426"
IDP5898,1,"85,803,998","85,805,701",148,"86,565,038","87,692,834","759,337"
IDP6617,1,"86,167,913","86,168,995",148,"86,565,038","87,692,834","396,043"
TIDP6530,1,"86,606,003","86,608,186",145.6,"80,399,785","81,944,872","4,661,131"
TIDP7103,1,"87,363,085","87,363,814",148,"86,565,038","87,692,834",-----
IDP1605,1,"87,625,720","87,626,323",149.7,"87,362,636","89,123,562",-----
IDP4235,1,"87,979,095","87,982,732",149.7,"87,362,636","89,123,562",-----
IDP5876,1,"88,008,558","88,010,343",149.7,"87,362,636","89,123,562",-----
IDP7943,1,"88,012,442","88,017,304",149.7,"87,362,636","89,123,562",-----
IDP4925,1,"89,077,934","89,078,805",151,"90,323,402","92,679,573","1,244,597"
IDP8399,1,"89,242,506","89,247,357",149.7,"87,362,636","89,123,562","118,944"
IDP8097,1,"90,219,959","90,222,308",151,"90,323,402","92,679,573","101,094"
TIDP7051,1,"90,323,763","90,324,415",152.4,"92,189,161","96,433,490","1,864,746"
mmp61,1,"90,328,838","90,329,049",152.4,"92,189,161","96,433,490","1,860,112"
IDP751,1,"90,545,194","90,546,934",152.4,"92,189,161","96,433,490","1,642,227"
IDP5863,1,"91,021,274","91,022,205",149.7,"87,362,636","89,123,562","1,897,712"
TIDP6092,1,"91,026,045","91,026,625",152.4,"92,189,161","96,433,490","1,162,536"
IDP4472,1,"91,371,758","91,373,053",151,"90,323,402","92,679,573",-----
TIDP6457,1,"91,459,528","91,461,948",151,"90,323,402","92,679,573",-----
TIDP4574,1,"92,242,912","92,243,844",151,"90,323,402","92,679,573",-----
IDP4698,1,"92,341,824","92,342,682",152.4,"92,189,161","96,433,490",-----
IDP8389,1,"92,343,799","92,345,357",152.4,"92,189,161","96,433,490",-----
IDP4792,1,"92,578,078","92,579,159",149.7,"87,362,636","89,123,562","3,454,516"
IDP5866,1,"92,983,824","92,985,210",152.4,"92,189,161","96,433,490",-----
mmp39,1,"94,818,573","94,818,743",152.4,"92,189,161","96,433,490",-----
IDP7186,1,"94,873,314","94,874,641",152.4,"92,189,161","96,433,490",-----
TIDP7049,1,"94,873,821","94,875,202",152.4,"92,189,161","96,433,490",-----
TIDP6576,1,"95,099,252","95,101,030",152.4,"92,189,161","96,433,490",-----
TIDP4596,1,"96,315,426","96,316,589",155.8,"96,266,213","105,275,145",-----
IDP4538,1,"96,318,926","96,320,395",152.4,"92,189,161","96,433,490",-----
TIDP9243,1,"97,667,651","97,670,906",155.8,"96,266,213","105,275,145",-----
IDP4132,1,"97,880,433","97,882,753",155.8,"96,266,213","105,275,145",-----
AY109646,1,"98,354,492","98,356,927",159,"120,057,497","159,043,136","21,700,570"
IDP831,1,"102,925,091","102,925,713",155.8,"96,266,213","105,275,145",-----
umc2230,1,"103,311,427","103,311,831",159,"120,057,497","159,043,136","16,745,666"
AY111680,1,"104,482,049","104,482,763",159,"120,057,497","159,043,136","15,574,734"
TIDP5625,1,"104,607,978","104,610,652",155.8,"96,266,213","105,275,145",-----
IDP2367,1,"105,152,455","105,155,100",158.4,"98,285,558","112,247,165",-----
